user_name,event_id,event_name,start_datetime
kristendaugherty,106,FINA Grand Prix 2023,2021-10-06T15:00:00
kristendaugherty,107,FINA Swimming World Series 2023,2020-03-13T02:00:00
kristendaugherty,105,FINA World Cup 2023,2024-04-20T21:00:00
kristendaugherty,102,Olympic Swimming Finals 2024,2021-04-13T16:00:00
kristendaugherty,113,FINA Swimming World Series 2028,2027-03-23T13:00:00
kristendaugherty,109,World Swimming Championships 2028,2026-10-03T17:00:00
kristendaugherty,108,Olympic Swimming Trials 2028,2028-01-20T07:00:00
fitzgeraldrebecca,240,Yoga for Athletes Workshop,2020-05-04T08:00:00
fitzgeraldrebecca,242,Yoga for Flexibility Workshop,2023-07-11T18:00:00
fitzgeraldrebecca,241,Yoga for Stress Relief Workshop,2021-11-23T07:00:00
fitzgeraldrebecca,245,Yoga for Mindfulness Workshop,2024-07-02T14:00:00
fitzgeraldrebecca,243,Yoga for Strength Workshop,2021-10-20T12:00:00
fitzgeraldrebecca,244,Yoga for Balance Workshop,2024-12-25T10:00:00
fitzgeraldrebecca,238,Morning Vinyasa Flow,2020-05-23T15:00:00
fitzgeraldrebecca,253,Yoga for Mindfulness Workshop,2026-08-17T05:00:00
fitzgeraldrebecca,255,Yoga for Kids Workshop,2026-02-17T18:00:00
fitzgeraldrebecca,249,Yoga for Stress Relief Workshop,2028-01-06T07:00:00
jacquelinemiller,137,Guided Hike in the Karkonosze Mountains,2020-06-17T13:00:00
jacquelinemiller,140,Guided Hike in the Tatra Mountains,2026-02-27T14:00:00
kyleterry,62,WNBA Finals Game 5,2023-08-26T03:00:00
kyleterry,66,NBA All-Star Game,2023-01-08T01:00:00
kyleterry,69,Olympic Basketball Qualifiers,2028-06-22T08:00:00
ortegakristi,326,Environmental Science Conference 2023,2020-11-03T02:00:00
ortegakristi,321,Genetics and Genomics Conference 2023,2024-10-09T13:00:00
ortegakristi,325,Biology Conference 2023,2023-10-12T02:00:00
ortegakristi,320,Climate Change Conference 2023,2023-12-20T12:00:00
ortegakristi,331,Chemistry Conference 2028,2030-08-03T13:00:00
ortegakristi,328,Genetics and Genomics Conference 2028,2026-11-11T06:00:00
greenebrandon,211,Salsa Dance Festival,2021-02-14T19:00:00
greenebrandon,214,Ballroom Dance Showcase,2023-01-27T08:00:00
greenebrandon,215,Jazz Dance Performance,2023-03-10T14:00:00
greenebrandon,213,Contemporary Dance Workshop,2021-02-26T01:00:00
greenebrandon,227,Jazz Dance Performance,2030-05-14T14:00:00
maria78,103,World Swimming Championships 2023,2022-12-02T19:00:00
maria78,104,European Swimming Championships 2023,2024-06-02T20:00:00
maria78,111,FINA World Cup 2028,2030-11-08T02:00:00
maria78,110,European Swimming Championships 2028,2029-01-19T15:00:00
maria78,115,FINA Swimming World Championships 2028,2030-10-25T03:00:00
cruzjamie,60,NBA Finals Game 7 2024,2022-04-15T18:00:00
cruzjamie,61,EuroLeague Championship,2020-05-20T22:00:00
cruzjamie,64,FIBA EuroBasket Final,2024-10-07T15:00:00
cruzjamie,65,NCAA Championship Game,2020-12-13T08:00:00
cruzjamie,66,NBA All-Star Game,2023-01-08T01:00:00
cruzjamie,70,EuroLeague Final Four,2026-12-01T10:00:00
cruzjamie,71,WNBA All-Star Game,2029-01-20T18:00:00
cruzjamie,73,FIBA U17 World Cup Final,2030-11-23T12:00:00
xbarnes,239,Yoga for Beginners Workshop,2021-02-22T21:00:00
xbarnes,244,Yoga for Balance Workshop,2024-12-25T10:00:00
xbarnes,241,Yoga for Stress Relief Workshop,2021-11-23T07:00:00
xbarnes,249,Yoga for Stress Relief Workshop,2028-01-06T07:00:00
kim82,33,Bundesliga Der Klassiker,2022-03-26T03:00:00
kim82,37,Primeira Liga O Clássico,2020-05-16T04:00:00
kim82,29,Champions League Final 2023,2022-10-19T19:00:00
kim82,32,Serie A Milan Derby,2020-04-08T11:00:00
kim82,34,MLS All-Star Game,2022-01-24T20:00:00
kim82,46,Euro 2028 Group Stage,2028-06-04T13:00:00
kim82,57,UEFA Europa Conference League Final,2030-04-14T12:00:00
jerry38,75,French Open Women's Semi-final,2020-08-08T20:00:00
jerry38,74,Wimbledon Men's Final 2023,2022-01-04T13:00:00
jerry38,85,Hopman Cup 2028,2027-07-04T13:00:00
jerry38,84,Ryder Cup 2028,2030-07-01T01:00:00
jerry38,81,Fed Cup Final 2028,2028-06-03T11:00:00
qhill,2,Arctic Monkeys Live 2023,2022-09-13T03:00:00
qhill,6,Led Zeppelin Tribute Band,2030-02-15T18:00:00
jenniferduncan,264,Quantum Computing Conference 2023,2021-11-17T09:00:00
jenniferduncan,259,Cloud Computing and Virtualization Conference 2023,2022-08-25T19:00:00
jenniferduncan,270,Internet of Things (IoT) Conference 2028,2028-11-14T23:00:00
brendanmoore,294,Vegetarian Cooking Class,2022-04-27T06:00:00
brendanmoore,303,Baking Basics Cooking Class,2027-08-24T06:00:00
